chr	len	initialoffset	totaloffset	lines	chrbytelengths
chrI	230218	6	6	4605	234829
chrII	813184	7	234836	16264	829455
chrIII	316620	8	1064292	6333	322961
chrIV	1531933	7	1387252	30639	1562579
chrV	576874	6	2949830	11538	588418
chrVI	270161	7	3538249	5404	275572
chrVII	1090940	8	3813822	21819	1112767
chrVIII	562643	9	4926590	11253	573905
chrIX	439888	7	5500493	8798	448693
chrX	745751	6	5949185	14916	760673
chrXI	666816	7	6709859	13337	680160
chrXII	1078177	8	7390020	21564	1099749
chrXIII	924431	9	8489770	18489	942929
chrXIV	784333	8	9432698	15687	800028
chrXV	1091291	7	10232725	21826	1113124
chrXVI	948066	8	11345850	18962	967036
chrM	85779	6	12312884	1716	87501
